N,m,method_code,run_id,restart_length,q,s,zeta,iteration,true_relres
1000,1000000,2,1,0,2,502,12,150,1.66733967829469e-06
1000,1000000,2,1,0,2,502,12,175,1.12695447543566e-06
1000,1000000,2,1,0,2,502,12,200,7.98165792948895e-07
1000,1000000,2,1,0,2,502,12,225,6.12659372888474e-07
1000,1000000,2,1,0,2,502,12,250,4.62987972760309e-07
1000,1000000,2,2,0,2,502,12,0,1
1000,1000000,2,2,0,2,502,12,5,0.0163498750304249
1000,1000000,2,2,0,2,502,12,10,0.00306162494216329
1000,1000000,2,2,0,2,502,12,20,0.000482396988853166
1000,1000000,2,2,0,2,502,12,30,0.000157728383908549
1000,1000000,2,2,0,2,502,12,50,3.74858429220577e-05
1000,1000000,2,2,0,2,502,12,75,1.12978911595584e-05
1000,1000000,2,2,0,2,502,12,100,4.94277164633558e-06
1000,1000000,2,2,0,2,502,12,125,2.70418323818943e-06
1000,1000000,2,2,0,2,502,12,150,1.62424904422714e-06
1000,1000000,2,2,0,2,502,12,175,1.11418974875592e-06
1000,1000000,2,2,0,2,502,12,200,7.95834283043696e-07
1000,1000000,2,2,0,2,502,12,225,5.83231370088895e-07
1000,1000000,2,2,0,2,502,12,250,4.44826300125371e-07
1000,1000000,2,3,0,2,502,12,0,1
1000,1000000,2,3,0,2,502,12,5,0.0162504287585273
1000,1000000,2,3,0,2,502,12,10,0.00307968131460053
1000,1000000,2,3,0,2,502,12,20,0.000484033704669577
1000,1000000,2,3,0,2,502,12,30,0.000160166136166469
1000,1000000,2,3,0,2,502,12,50,3.80161447050012e-05
1000,1000000,2,3,0,2,502,12,75,1.12813438428822e-05
1000,1000000,2,3,0,2,502,12,100,4.88531009801716e-06
1000,1000000,2,3,0,2,502,12,125,2.62829874893756e-06
1000,1000000,2,3,0,2,502,12,150,1.61437331606455e-06
1000,1000000,2,3,0,2,502,12,175,1.09004601183192e-06
1000,1000000,2,3,0,2,502,12,200,7.75305494456591e-07
1000,1000000,2,3,0,2,502,12,225,5.90837287093728e-07
1000,1000000,2,3,0,2,502,12,250,4.6504491706854e-07
1000,1000000,2,4,0,2,502,12,0,1
1000,1000000,2,4,0,2,502,12,5,0.0162245177315258
1000,1000000,2,4,0,2,502,12,10,0.00305514332410571
1000,1000000,2,4,0,2,502,12,20,0.000484536129207946
1000,1000000,2,4,0,2,502,12,30,0.000159461327547859
1000,1000000,2,4,0,2,502,12,50,3.70874011859374e-05
1000,1000000,2,4,0,2,502,12,75,1.16070268194806e-05
1000,1000000,2,4,0,2,502,12,100,4.88701470739714e-06
1000,1000000,2,4,0,2,502,12,125,2.65651807870034e-06
1000,1000000,2,4,0,2,502,12,150,1.62662384549765e-06
1000,1000000,2,4,0,2,502,12,175,1.1455639968502e-06
